1;arms_factory;2100.00;14.65;1919.00;1.67;0
1;arms_factory;2073.00;14.68;1920.00;4.33;0
1;arms_factory;2070.00;11.63;1882.00;0.71;0
1;arms_factory;2080.00;12.15;1883.00;3.73;0
1;arms_factory;2114.00;12.57;1879.00;0.11;0
1;arms_factory;1970.00;9.73;2018.00;2.78;0
1;industrial_complex;2005.00;10.50;2019.00;5.44;0
1;industrial_complex;1986.00;9.65;2012.00;2.17;0
1;industrial_complex;2170.00;16.70;2042.00;4.84;0
1;industrial_complex;2207.00;16.65;2041.00;1.23;0
1;industrial_complex;2239.00;15.98;2040.00;2.78;0
1;industrial_complex;2234.00;15.90;2028.00;0.62;0
1;air_base;2248.00;15.28;2027.00;1.83;0
1;naval_base;1977.00;9.60;2022.00;-2.22;7724
1;naval_base;2217.00;9.53;1987.00;-0.97;5361
1;naval_base;2183.00;9.50;1970.00;-3.77;5361
1;naval_base;2061.00;9.50;1862.00;-0.94;419
1;bunker;2081.00;15.07;1999.00;4.40;0
1;bunker;1979.00;9.68;2039.00;5.96;0
1;bunker;2134.00;11.20;1885.00;2.34;0
1;bunker;2202.00;10.65;1987.00;0.18;0
1;bunker;2161.00;12.03;1965.00;1.39;0
1;coastal_bunker;2227.00;9.63;2000.00;-0.97;0
1;coastal_bunker;2170.00;9.50;1930.00;-0.23;0
1;coastal_bunker;1970.00;9.60;2028.00;-2.98;0
1;coastal_bunker;2138.00;11.18;1907.00;-4.37;0
1;dockyard;1989.00;9.50;2015.00;-2.22;0
1;anti_air_building;2039.00;12.15;1931.00;0.69;0
1;anti_air_building;2120.00;14.60;1931.00;1.90;0
1;anti_air_building;2012.00;10.43;1930.00;4.91;0
1;radar_station;2154.00;12.50;1944.00;2.00;0
1;nuclear_reactor;2083.00;13.03;1897.00;3.96;0
2;arms_factory;2690.00;9.57;1799.00;0.71;0
2;arms_factory;2688.00;9.57;1800.00;3.73;0
2;arms_factory;2688.00;9.57;1801.00;0.11;0
2;arms_factory;2690.00;9.53;1783.00;2.78;0
2;arms_factory;2691.00;9.75;1783.00;5.44;0
2;arms_factory;2688.00;9.63;1798.00;2.17;0
2;industrial_complex;2688.00;9.65;1799.00;4.84;0
2;industrial_complex;2690.00;9.57;1799.00;1.23;0
2;industrial_complex;2689.00;9.70;1800.00;2.78;0
2;industrial_complex;2689.00;9.70;1800.00;0.62;0
2;industrial_complex;2690.00;9.53;1783.00;1.83;0
2;industrial_complex;2691.00;9.75;1783.00;5.95;0
2;air_base;2688.00;9.50;1797.00;2.68;0
2;naval_base;2695.00;9.50;1803.00;-3.14;8300
2;bunker;2690.00;9.57;1799.00;1.73;0
2;coastal_bunker;2684.00;9.50;1798.00;-3.14;0
2;dockyard;2690.00;9.65;1784.00;-3.14;0
2;anti_air_building;2690.00;9.53;1783.00;2.34;0
2;anti_air_building;2691.00;9.75;1783.00;0.18;0
2;anti_air_building;2688.00;9.50;1797.00;1.39;0
2;radar_station;2688.00;9.50;1792.00;6.15;0
2;nuclear_reactor;2689.00;9.68;1799.00;0.79;0
3;arms_factory;3039.00;9.57;1625.00;0.11;0
3;arms_factory;3040.00;9.50;1624.00;2.78;0
3;arms_factory;3039.00;9.57;1625.00;5.44;0
3;arms_factory;3040.00;9.68;1625.00;2.17;0
3;arms_factory;3040.00;9.68;1625.00;4.84;0
3;arms_factory;3037.00;9.60;1626.00;1.23;0
3;industrial_complex;3040.00;9.50;1624.00;2.78;0
3;industrial_complex;3037.00;9.60;1626.00;0.62;0
3;industrial_complex;3037.00;9.53;1625.00;1.83;0
3;industrial_complex;3040.00;9.68;1625.00;5.95;0
3;industrial_complex;3037.00;9.53;1625.00;2.68;0
3;industrial_complex;3039.00;9.57;1625.00;3.90;0
3;air_base;3040.00;9.50;1624.00;1.73;0
3;naval_base;3040.00;9.50;1623.00;-1.57;2333
